"id","title","year","venue","quality_status","evidence_role","decentralized_execution","project_decision","main_limit","official_url"
"S02","Planetary Landing Site Detection and Selection Using Multilevel Optimization Strategy","2019","Acta Astronautica","正式航天期刊；分区未实时核验","多层候选检测与站点评分","not multi-agent","支持检测与选择分层","不包含去中心化通信或地面行驶","https://doi.org/10.1016/j.actaastro.2019.01.004"
"A01","Consensus-Based Decentralized Auctions for Robust Task Allocation","2009","IEEE Transactions on Robotics","正式高水平机器人期刊","本地通信下auction与consensus","yes","只用于分配谁验证哪个候选","一车一任务语义与all-to-one站点选择相反","https://doi.org/10.1109/TRO.2009.2022423"
"A02","Efficient Online Multi-Robot Exploration via Distributed Sequential Greedy Assignment","2017","Robotics: Science and Systems","正式高水平机器人会议","分布式探索分工与冗余信息控制","yes","用于候选验证分工","不解决全队最终选择同一候选","https://doi.org/10.15607/RSS.2017.XIII.070"
"A03","Fully Decentralized Task Swaps with Optimized Local Searching","2014","Robotics: Science and Systems","正式高水平机器人会议","无全局广播或多跳协议的局部任务交换","yes","支持局部协调可达到较好全局分配","任务交换不是公共站点commit","https://doi.org/10.15607/RSS.2014.X.021"
"T01","MADER: Trajectory Planner in Multiagent and Dynamic Environments","2022","IEEE Transactions on Robotics","正式高水平机器人期刊","去中心化异步多车轨迹规划与轨迹共享","yes","支持共享已承诺短时轨迹语义","完整在线优化器会改变当前主算法","https://doi.org/10.1109/TRO.2021.3080235"
"T02","Robust MADER: Decentralized Multiagent Trajectory Planner Robust to Communication Delay in Dynamic Environments","2024","IEEE Robotics and Automation Letters","正式机器人期刊；分区未实时核验","新轨迹与承诺轨迹双阶段发布、延迟检查","yes","支持带有效期和年龄的trajectory commitment","安全证明依赖其完整规划和检查流程，不能移植到Actor消息后声称同等保证","https://doi.org/10.1109/LRA.2023.3342561"
"T03","Distributed Covariance Steering with Consensus ADMM for Stochastic Multi-Agent Systems","2021","Robotics: Science and Systems","正式高水平机器人会议","邻居副本与一致约束下分布式终端控制","yes","支持分布式站点-轨迹优化作为后备路线","线性随机系统和给定终端分布与本项目不同","https://doi.org/10.15607/RSS.2021.XVII.075"
"T04","Distributed Optimization with Pairwise Constraints and its Application to Multi-Robot Path Planning","2010","Robotics: Science and Systems","正式高水平机器人会议","两两非线性约束的分布式轨迹优化","yes","支持邻居轨迹耦合的显式优化路线","不能直接处理未知非凸平地和异步消息","https://doi.org/10.15607/RSS.2010.VI.023"
"T05","Decentralized Safe Multi-agent Stochastic Optimal Control Using Deep FBSDEs and ADMM","2022","Robotics: Science and Systems","正式高水平机器人会议","去中心化随机控制、安全约束与ADMM","yes","说明大幅替换为分布式优化仍可保持去中心化","结构过宽且安全层不是当前首要缺口","https://doi.org/10.15607/RSS.2022.XVIII.055"
"T06","Formation Stabilization of Multiple Agents Using Decentralized Navigation Functions","2005","Robotics: Science and Systems","正式高水平机器人会议","局部相对信息下形成稳定队形","yes","支持终端几何可由去中心化局部反馈稳定","需要预先设计形成图且不处理未知共同平地","https://doi.org/10.15607/RSS.2005.I.007"
"T07","Rigidity Maintenance Control for Multi-Robot Systems","2012","Robotics: Science and Systems","正式高水平机器人会议","分布式队形刚性维护","yes","作为终端几何稳定的理论参照","维护既有形成而不是共同选址与到达","https://doi.org/10.15607/RSS.2012.VIII.060"
"L01","Planning with Goal-Conditioned Policies","2019","NeurIPS","正式录用高水平会议","高层抽象目标与低层策略组合","execution policy goal-conditioned","支持site potential条件低层Actor","不包含多车共识且对抽象质量敏感","https://proceedings.neurips.cc/paper/2019/hash/c8cc6e90ccbff44c9cee23611711cdc4-Abstract.html"
"L02","Between MDPs and Semi-MDPs: A Framework for Temporal Abstraction in Reinforcement Learning","1999","Artificial Intelligence","经典正式期刊论文","options与多时间尺度控制","general","仅作为后续固定语义option理论","当前加入自动option会扩大训练不稳定性","https://doi.org/10.1016/S0004-3702(99)00052-1"
"L03","Model-Based Reinforcement Learning for Decentralized Multiagent Rendezvous","2021","Conference on Robot Learning / PMLR 155","正式机器人学习会议论文","各车本地预测队友运动并修正rendezvous目标","yes","支持局部belief而非几何中点","假设较强队友观测并在本地模拟团队，复杂地形和陈旧消息适配有限","https://proceedings.mlr.press/v155/wang21d.html"
"L04","Learning Decentralized Controllers for Robot Swarms with Graph Neural Networks","2020","Conference on Robot Learning","正式机器人学习会议","动态邻接图上的局部图控制","yes","仅在候选消息语义稳定后考虑集合编码器","依赖中央专家模仿且GNN本身不是共识协议","https://proceedings.mlr.press/v100/tolstaya20a.html"
"L05","Decentralized Control of Quadrotor Swarms with End-to-End Deep Reinforcement Learning","2022","Conference on Robot Learning / PMLR 164","正式机器人学习会议论文","局部观测共享策略形成与避碰","yes","证明去中心化学习控制的可行性","无人机任务没有未知共同站点与严格地形gate","https://proceedings.mlr.press/v164/batra22a.html"
"L06","Learning from My Partner's Actions: Roles in Decentralized Robot Teams","2020","Conference on Robot Learning","正式机器人学习会议论文","显式角色使队友动作意图更可辨识","yes","只作为稳定协调语义的相邻证据","角色机制不产生共同地形目标","https://proceedings.mlr.press/v100/losey20a.html"
