"id","title","year","venue","quality_status","evidence_set","problem_type","credit_scope","training_regime","action_support","ctde","project_score","project_decision","official_url"
"E16","QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning","2018","ICML","正式录用高水平会议","core","单调价值分解","individual Q","off-policy Q-learning","discrete","yes","69","算法主体替换；不进入首轮","https://proceedings.mlr.press/v80/rashid18a.html"
"E17","Value-Decomposition Networks For Cooperative Multi-Agent Learning","2018","AAMAS","正式录用多智能体会议","core","可加价值分解","individual Q","off-policy Q-learning","discrete","yes","55","表达约束大；只作基础文献","https://www.ifaamas.org/Proceedings/aamas2018/pdfs/p2085.pdf"
"E18","QTRAN: Learning to Factorize with Transformation for Cooperative Multi-Agent Reinforcement Learning","2019","ICML","正式录用高水平会议","core","一般IGM分解","individual Q","off-policy Q-learning","discrete","yes","64","改动大且训练复杂；只作值分解对照","https://proceedings.mlr.press/v97/son19a.html"
"E19","QPLEX: Duplex Dueling Multi-Agent Q-Learning","2021","ICLR","正式录用高水平会议","core","advantage-based IGM","individual Q","off-policy Q-learning","discrete","yes","68","值分解替换路线；暂缓","https://openreview.net/forum?id=Rcmk0xxIQV"
"E20","Weighted QMIX: Expanding Monotonic Value Function Factorisation","2020","NeurIPS","正式录用高水平会议","core","缓解单调投影误差","individual Q","off-policy Q-learning","discrete","yes","63","仍受值分解训练范式约束","https://proceedings.neurips.cc/paper/2020/hash/73a427badebe0e32caa2e1fc7530b7f3-Abstract.html"
"E21","Q-value Path Decomposition for Deep Multiagent Reinforcement Learning","2020","ICML","正式录用高水平会议","core","时空Q分解","agent and time","value decomposition","discrete","yes","65","方法较宽；用于时空信用综述","https://proceedings.mlr.press/v119/yang20d.html"
"E22","DFAC Framework: Factorizing the Value Function via Quantile Mixture","2021","ICML","正式录用高水平会议","core","分布式价值分解","individual return distributions","off-policy Q-learning","discrete","yes","55","解决随机回报而非当前首要问题","https://proceedings.mlr.press/v139/sun21c.html"
"E23","Deconfounded Value Decomposition for Multi-Agent Reinforcement Learning","2022","ICML","正式录用高水平会议","core","因果去混杂价值分解","individual Q","off-policy value decomposition","discrete","yes","59","需要trajectory graph且替换算法；暂缓","https://proceedings.mlr.press/v162/li22l.html"
"E24","PAC: Assisted Value Factorization with Counterfactual Predictions","2022","NeurIPS","正式录用高水平会议","core","反事实辅助值分解","individual Q and latent assistance","value-based","discrete","yes","60","引入反事实编码与值分解；暂缓","https://proceedings.neurips.cc/paper_files/paper/2022/hash/65338cfb603d4871a2c38e53a3e039c9-Abstract-Conference.html"
"E25","Multiagent Q-Learning with Sub-Team Coordination","2022","NeurIPS","正式录用高水平会议","core","子团队协调","subteam","off-policy Q-learning","discrete","yes","64","只有子团队交互诊断阳性时考虑","https://proceedings.neurips.cc/paper_files/paper/2022/hash/bd31bfd4caa85bffe07a35568182cdfa-Abstract-Conference.html"
"E26","Towards Understanding Cooperative Multi-Agent Q-Learning with Value Factorization","2021","NeurIPS","正式录用高水平会议","core","值分解理论","individual Q","theoretical and empirical","discrete","yes","diagnostic","说明值分解可隐式信用但不保证收敛","https://proceedings.neurips.cc/paper_files/paper/2021/hash/f3f1fa1e4348bfbebdeee8c80a04c3b9-Abstract.html"
"E27","Shapley Q-Value: A Local Reward Approach to Solve Global Reward Games","2020","AAAI","正式录用高水平会议","core","Shapley空间信用","coalition-individual","off-policy actor-critic","continuous experiments","yes","67","仅作四车联盟诊断依据","https://ojs.aaai.org/index.php/aaai/article/view/6220"
"E28","Shapley Counterfactual Credits for Multi-Agent Reinforcement Learning","2021","KDD","正式录用高水平会议","core","联盟反事实信用","coalition-individual","CTDE MARL","discrete","yes","73","需要可信coalition critic；离线诊断优先","https://doi.org/10.1145/3447548.3467420"
"E29","SHAQ: Incorporating Shapley Value Theory into Multi-Agent Q-Learning","2022","NeurIPS","正式录用高水平会议","core","Markov Shapley价值分解","coalition-individual","off-policy Q-learning","discrete","yes","72","可解释但需算法替换；不首用","https://proceedings.neurips.cc/paper_files/paper/2022/hash/27985d21f0b751b933d675930aa25022-Abstract-Conference.html"
"E30","STAS: Spatial-Temporal Return Decomposition for Solving Sparse Rewards Problems in MARL","2024","AAAI","正式录用高水平会议","core","时空Shapley信用","agent and time","return decomposition","discrete","yes","69","当前奖励较稠密且模型较宽；暂缓","https://ojs.aaai.org/index.php/AAAI/article/view/29681"
"E31","Hindsight Credit Assignment","2019","NeurIPS","正式录用高水平会议","core","时间信用","action over time","on-policy model-free","discrete demonstrations","training-only hindsight","56","先测rollout外影响；当前不实施","https://proceedings.neurips.cc/paper/2019/hash/195f15384c2a79cedf293e4a847ce85c-Abstract.html"
"E32","Counterfactual Credit Assignment in Model-Free Reinforcement Learning","2021","ICML","正式录用高水平会议","core","时间信用与低方差baseline","action over time","policy gradient","mixed illustrative tasks","training-only future features","52","额外模型和损失较多；当前不实施","https://proceedings.mlr.press/v139/mesnard21a.html"
"E33","Would I Have Gotten That Reward? Long-Term Credit Assignment by Counterfactual Contribution Analysis","2023","NeurIPS","正式录用高水平会议","core","长时反事实贡献","action over time","model-based credit","discrete","training-only model","55","只有M>64门限通过才重新讨论","https://proceedings.neurips.cc/paper_files/paper/2023/hash/d8bd445c2abe1343cce0e14b361b2fb3-Abstract-Conference.html"
"E34","RUDDER: Return Decomposition for Delayed Rewards","2019","NeurIPS","正式录用高水平会议","core","延迟奖励重分配","time","return decomposition with LSTM","mixed","execution policy unchanged","54","当前已有稠密奖励；无长时证据不启用","https://proceedings.neurips.cc/paper/2019/hash/16105fb9cc614fc29e1bda00dab60d41-Abstract.html"
"E35","Quantile Credit Assignment","2023","ICML","正式录用高水平会议","core","区分技能与随机性","time and outcome","policy gradient","mixed","training-only","48","解决随机结果而非四车空间信用","https://proceedings.mlr.press/v202/mesnard23a.html"
"E36","Sequence Compression Speeds Up Credit Assignment in Reinforcement Learning","2024","ICML","正式录用高水平会议","core","TD时间信用","time","model-assisted TD","mixed","not MARL-specific","45","若M>64阳性才作为时间路线参考","https://proceedings.mlr.press/v235/ramesh24b.html"
"E37","Multi-Agent Reinforcement Learning with Reward Delays","2023","L4DC","正式录用控制学习会议","adjacent","奖励到达延迟","time","V-learning theory","discrete tabular","decentralized algorithms","35","研究通信式reward arrival delay；与本项目因果延迟不同","https://proceedings.mlr.press/v211/zhang23c.html"
"E38","MAVEN: Multi-Agent Variational Exploration","2019","NeurIPS","正式录用高水平会议","core-adjacent","协调探索","team latent mode","off-policy value-based","discrete","yes","50","用于排除探索问题；不是信用方法","https://proceedings.neurips.cc/paper_files/paper/2019/hash/f816dc0acface7498e10496222e9db10-Abstract.html"
"E39","Revisiting Some Common Practices in Cooperative Multi-Agent Reinforcement Learning","2022","ICML","正式录用高水平会议","core-adjacent","共享参数与值分解局限","team policy","theoretical and empirical","mixed","yes","diagnostic","提示多峰协调中共享Actor可能独立于信用失败","https://proceedings.mlr.press/v162/fu22d.html"
"E40","Multi-Agent Reinforcement Learning is a Sequence Modeling Problem","2022","NeurIPS","正式录用高水平会议","core-adjacent","多智能体优势分解与顺序决策","joint sequence","on-policy autoregressive","mixed","centralized ordering at execution risk","42","执行结构不符合当前同时去中心化策略；不采用","https://proceedings.neurips.cc/paper_files/paper/2022/hash/69413f87e5a34897cd010ca698097d0a-Abstract-Conference.html"
"E41","Difference Rewards Policy Gradients","2021","AAMAS / Neural Computing and Applications extended version","正式多智能体论文；期刊分区未核验","core-foundational","差分即时奖励","individual","on-policy policy gradient","discrete","yes","80-theory","支撑DAE；完整difference reward偏差风险较高","https://doi.org/10.1007/s00521-022-07960-5"
"E42","Policy Invariance under Reward Transformations","1999","ICML","经典高水平会议论文","core-foundational","potential-based shaping","team or individual","theoretical","general","not execution-specific","foundational","用于解释shaping的策略不变性边界","https://www.cs.utexas.edu/~shivaram/readings/b2hd-NgHR1999.html"
"E43","Optimal Payoff Functions for Members of Collectives","2002","Advances in Complex Systems","经典差分奖励文献；分区未核验","core-foundational","difference rewards","individual","theoretical and experiments","general","decentralized agents","foundational","差分奖励历史依据；不单独授权工程实现","https://doi.org/10.1142/S0219525901000328"
"E44","Multi-Agent Deep Reinforcement Learning: A Survey","2022","Artificial Intelligence Review","正式综述；当前环境未核验当年JCR/CAS分区","survey","MARL方法分类","various","survey","various","various","survey","用于术语和CTDE分类，不直接支持算法选择","https://doi.org/10.1007/s10462-021-09996-w"
"E45","Recent Trends in Robot Learning and Evolution for Swarm Robotics","2023","Frontiers in Robotics and AI","正式综述；当前环境未核验JCR/CAS分区","domain-survey","群体机器人空间信用","swarm","survey","robot swarm","decentralized emphasis","domain","说明机器人领域仍大量依赖手工信用；不作为算法有效性证据","https://doi.org/10.3389/frobt.2023.1134841"
"E46","Efficient Credit Assignment in Cooperative Multi-Agent Reinforcement Learning","2025","TMLR submission","OpenReview记录为rejected","excluded","episodic control credit","individual","off-policy","discrete","claimed","excluded","未正式录用，不进入证据结论","https://openreview.net/forum?id=ZOTpFhwQQ9"
"E47","Cooperative Multi-Agent Reinforcement Learning with Sequential Credit Assignment","2025","OpenReview submission","检索时未确认正式录用","excluded","顺序信用","individual sequence","actor-critic","discrete","claimed","excluded","未正式录用，不进入证据结论","https://openreview.net/attachment?id=IQgbmaoDDjd&name=pdf"
"E48","Multi-Agent Credit Assignment with Pretrained Language Models","2025","AISTATS","正式录用但任务范式不匹配","excluded-domain","语言模型子目标信用","agent-subgoal","language-grounded MARL","language actions","not relevant","excluded","依赖预训练语言模型且违反本轮范围","https://proceedings.mlr.press/v258/li25e.html"
